CVEGEO	pop
0900500010506	3021
0900500010510	812
0900500010525	1550
0900500010559	2660
0900500010563	3592
0900500010582	3163
0900500010597	4646
090050001060A	1820
0900500010614	747
0900500010629	699
0900500010633	2691
0900500010667	5490
0900500010671	5776
0900500010703	7776
0900500010718	0
0900500010722	3178
0900500010737	2901
0900500010741	2303
0900500010756	157
0900500010760	2709
0900500010775	2175
090050001078A	2384
0900500010794	2712
0900500010807	1554
0900500010811	4407
0900500010826	3830
0900500010830	4501
0900500010845	7846
090050001085A	4357
0900500010864	5592
0900500010879	1856
0900500010883	766
0900500010898	1533
0900500010900	1915
0900500010915	1933
090050001092A	2904
0900500010934	2566
0900500010949	1842
0900500010953	1247
0900500010968	1798
0900500010972	2989
0900500010987	2773
0900500010991	5676
0900500011006	4733
0900500011025	7872
090050001103A	4250
0900500011044	6184
0900500011059	3949
0900500011063	2382
0900500011078	0
0900500011082	2822
0900500011097	2433
090050001110A	3057
0900500011114	2112
0900500011129	1745
0900500011133	6118
0900500011148	4353
0900500011152	3678
0900500011167	5776
0900500011171	6810
0900500011186	6233
0900500011190	4698
0900500011203	3360
0900500011218	3646
0900500011222	3836
0900500011237	2770
0900500011241	61
0900500011256	1121
0900500011260	2382
0900500011275	2985
090050001128A	7970
0900500011294	7001
0900500011307	13176
0900500011311	2212
0900500011326	2602
0900500011330	5138
0900500011345	6216
090050001135A	6197
0900500011364	4742
0900500011379	5453
0900500011383	4092
0900500011398	3003
0900500011400	4437
0900500011415	3347
090050001142A	2240
0900500011434	1729
0900500011449	2830
0900500011453	4315
0900500011468	3220
0900500011472	2827
0900500011487	2732
0900500011504	1035
0900500011523	5471
0900500011538	4658
0900500011542	5144
0900500011557	3663
0900500011561	4128
0900500011576	4358
0900500011580	3199
0900500011595	3490
0900500011608	2467
0900500011612	2463
0900500011627	637
0900500011631	4100
0900500011646	7
0900500011650	7789
0900500011665	4977
090050001167A	7456
0900500011684	4341
0900500011699	3550
0900500011701	3544
0900500011716	3589
0900500011720	3006
0900500011735	5876
090050001174A	5034
0900500011754	5282
0900500011769	5556
0900500011773	4611
0900500011788	3082
0900500011792	2749
0900500011805	3937
090050001181A	3787
0900500011824	3291
0900500011839	4354
0900500011843	3934
0900500011858	2052
0900500011862	3806
0900500011877	2646
0900500011881	2455
0900500011896	4486
0900500011909	6163
0900500011913	6882
0900500011928	14
0900500011932	3949
0900500011951	2954
0900500011970	5898
0900500011985	6515
090050001199A	4250
0900500012004	2711
0900500012019	4307
0900500012023	4433
0900500012038	3222
0900500012042	3604
0900500012057	2694
0900500012061	3153
0900500012076	2946
0900500012080	2148
0900500012095	4036
0900500012108	3677
0900500012112	384
0900500012127	6630
0900500012131	4822
0900500012146	2810
0900500012150	3106
0900500012165	1009
090050001217A	4413
0900500012184	2870
0900500012199	3485
0900500012201	4422
0900500012216	3197
0900500012220	5296
0900500012235	3997
090050001224A	3517
0900500012254	3267
0900500012269	2773
0900500012273	5032
0900500012288	7055
0900500012292	4245
0900500012305	3614
090050001231A	3306
0900500012324	2997
0900500012339	751
0900500012343	3588
0900500012358	1767
0900500012362	2422
0900500012377	2986
0900500012381	2918
0900500012396	3449
0900500012409	3728
0900500012428	2407
0900500012432	2660
0900500012447	2642
0900500012451	3246
0900500012466	3163
0900500012470	5374
0900500012485	6176
0900500012536	1867
0900500012574	3313
0900500012593	5726
0900500012606	3240
0900500012610	7326
0900500012625	7116
090050001263A	2465
0900500012644	2242
0900500012659	2132
0900500012663	2595
0900500012678	2434
0900500012682	5028
0900500012697	2999
090050001270A	2602
0900500012714	2630
0900500012729	4496
0900500012733	3894
0900500012748	3855
0900500012752	4278
0900500012767	5406
0900500012771	5099
0900500012786	2091
0900500012790	3663
0900500012803	4272
0900500012822	3802
0900500012837	3315
0900500012841	2417
0900500012856	4890
0900500012860	4900
0900500012875	2195
090050001288A	1702
0900500012894	2140
0900500012907	5111
0900500012930	4364
0900500012945	4598
090050001295A	4267
0900500012964	4888
0900500012979	5544
0900500012983	3377
0900500012998	4749
0900500013017	1925
0900500013055	2876
090050001306A	2899
0900500013074	2060
0900500013089	8133
0900500013093	12036
0900500013110	1574
0900500013125	3029
090050001313A	1484
0900500013144	4023
0900500013159	4982
0900500013163	1911
0900500013178	1870
0900500013182	2221
0900500013197	5244
090050001320A	1993
0900500013214	5814
0900500013229	3544
0900500013233	6414
0900500013248	5663
0900500013252	6248
0900500013267	3857
0900500013271	4264
0900500013286	3236
0900500013290	4654
0900500013303	1861
0900500013318	4304
0900500013322	4420
0900500013337	3043
0900500013341	2343
0900500013356	1096
0900500013360	4725
0900500013375	1196
090050001338A	2997
0900500013394	2891
0900500013407	8413
0900500013411	5806
0900500013426	2443
0900500013430	4345
0900500013445	4319
090060001001A	6014
0900600010024	5155
0900600010039	4548
0900600010043	5255
0900600010058	3919
0900600010077	4527
0900600010081	7404
0900600010096	8297
0900600010109	6369
0900600010128	5499
0900600010132	4303
0900600010147	0
0900600010151	0
0900600010166	2473
0900600010170	2014
0900600010185	10395
090060001019A	2185
0900600010202	5819
0900600010217	7652
0900600010221	6103
0900600010236	4221
0900600010240	2790
0900600010255	7139
090060001026A	3997
0900600010274	4869
0900600010289	1038
0900600010293	5556
0900600010310	9912
0900600010325	4283
090060001033A	4787
0900600010344	3910
0900600010359	6468
0900600010363	5344
0900600010378	2360
0900600010382	2840
0900600010397	7901
0900600010414	3190
0900600010429	2593
0900600010433	2737
0900600010448	2579
0900600010452	1986
0900600010467	20
0900600010471	3513
0900600010486	1631
0900600010490	3843
0900600010503	4722
0900600010518	5337
0900600010522	3376
0900600010537	4131
0900600010541	3564
0900600010556	4808
0900600010575	6876
090060001058A	4801
0900600010594	2900
0900600010607	7114
0900600010611	5465
0900600010626	1985
0900600010630	2680
0900600010645	2127
090060001065A	2015
0900600010664	3851
0900600010679	2575
0900600010683	4346
0900600010698	3033
0900600010700	3686
0900600010715	2275
090060001072A	2520
0900600010734	2950
0900600010749	2692
0900600010753	2113
0900600010768	2016
0900600010772	1971
0900600010787	4868
0900600010791	1795
0900600010804	4824
0900600010823	3361
0900600010838	2924
0900600010842	2068
0900600010876	1859
0900600010880	1783
0900600010895	2428
0900600010908	1288
0900600010927	2727
0900600010931	2852
0900600010946	2334
0900600010950	2296
0900600010965	1629
090060001097A	1528
0900600010984	1628
0900600010999	928
0900600011003	2550
0900600011018	2119
0900600011022	2024
0900600011037	2212
0900600011041	4529
0900600011056	4258
0900600011060	3704
0900600011075	2887
090060001108A	4564
0900600011094	4236
0900600011107	4414
0900600011111	1413
0900600011126	5768
0900600011130	3560
090060001115A	2063
0900600011164	915
0900600011179	8203
0900600011183	2241
0900600011198	2099
0900600011200	4449
0900700010017	5868
0900700010021	7518
0900700010036	10273
0900700010040	3860
0900700010055	3701
090070001006A	2957
0900700010074	2480
0900700010089	2144
0900700010093	1677
0900700010106	1524
0900700010110	1932
090070001013A	2880
0900700010144	1855
0900700010178	2948
0900700010182	2946
0900700010197	2762
0900700010214	6202
0900700010229	0
0900700010233	1933
0900700010248	1549
0900700010252	3188
0900700010271	4150
0900700010286	2480
0900700010290	1588
0900700010303	1103
0900700010318	3528
0900700010322	4540
0900700010337	5329
0900700010356	5122
0900700010360	5255
0900700010375	6884
090070001038A	5123
0900700010407	6972
0900700010411	4975
0900700010426	8211
0900700010445	3848
0900700010464	4863
0900700010479	4554
0900700010483	6782
0900700010498	5441
0900700010500	6227
0900700010515	7149
0900700010534	4645
0900700010553	5795
0900700010568	5839
0900700010572	5325
0900700010587	2637
0900700010591	3807
0900700010604	3653
0900700010619	5610
0900700010623	5433
0900700010638	4162
0900700010642	2515
0900700010657	1916
0900700010676	2699
0900700010680	3125
0900700010695	3633
0900700010708	4420
0900700010727	2181
0900700010731	11610
0900700010746	7993
0900700010750	9308
0900700010765	3454
090070001077A	4047
0900700010784	6393
0900700010801	3649
0900700010816	1207
0900700010820	1112
0900700010835	6828
090070001084A	7352
0900700010854	3289
0900700010888	4544
0900700010892	2220
0900700010905	2580
090070001091A	1444
0900700010924	3759
0900700010939	4294
0900700010943	3439
0900700010958	5599
0900700010962	8084
0900700010977	7001
0900700010981	6435
0900700011000	5229
0900700011015	6358
0900700011034	6566
0900700011049	4690
0900700011053	7253
0900700011087	5902
0900700011091	4232
0900700011104	6367
0900700011123	3739
0900700011138	4768
0900700011142	3200
0900700011157	2662
